rcid,role_k50,year,posting_count,log_count,w_loo,log_w_loo,residual,fitted
494205,Accounting,2022,3,1.0986122886681098,77907.5820742609,11.263278557985926,-0.21957086576710427,1.318183154435214
494205,Accounting,2025,1,0.0,81452.29954180628,11.307772846189135,-1.3288968378254993,1.3288968378254993
494205,Administrative Assistant,2022,1,0.0,57845.789362592994,10.965535944537969,-1.2464903547277826,1.2464903547277826
494205,Administrative Assistant,2025,1,0.0,22866.4800659884,10.037427364633055,-1.023013097793238,1.023013097793238
494205,Banking Analyst,2025,1,0.0,86427.09705525666,11.367056528947362,-1.3431716275329102,1.3431716275329102
494205,Business Development Strategist,2021,1,0.0,127363.22776419252,11.75479834438295,-1.4365351403680602,1.4365351403680602
494205,Compliance Auditor,2022,1,0.0,89622.31602761016,11.403359630760178,-1.3519129728743946,1.3519129728743946
494205,Compliance Auditor,2024,1,0.0,115302.48843155288,11.65531428825802,-1.4125805897336947,1.4125805897336947
494205,Construction Engineer,2023,1,0.0,103392.48866172301,11.546287594914153,-1.3863282881294714,1.3863282881294714
494205,Construction Engineer,2025,1,0.0,151841.2972212925,11.930591157150863,-1.4788639114157391,1.4788639114157391
494205,Corporate Attorney,2025,1,0.0,134982.93433122008,11.812903637068517,-1.4505261880793958,1.4505261880793958
494205,Customer Service Representative,2021,28,3.332204510175204,52625.80307451857,10.870961831191638,2.1084864515830954,1.2237180585921081
494205,Customer Service Representative,2022,36,3.58351893845611,42509.87928842263,10.657491781744538,2.4112018712146117,1.172317067241498
494205,Customer Service Representative,2023,20,2.995732273553991,41780.255607035,10.640179153019918,1.8275838767261428,1.168148396827848
494205,Customer Service Representative,2024,43,3.7612001156935624,39903.52301908635,10.594219895197776,2.604118149120989,1.1570819665725736
494205,Customer Service Representative,2026,22,3.091042453358316,52751.128760924505,10.873340449420738,1.8667516524291117,1.2242908009292044
494205,Cybersecurity Analyst,2025,1,0.0,82196.13033594457,11.316863503731097,-1.331085757586824,1.331085757586824
494205,Data Analyst,2022,1,0.0,96416.0800320286,11.476428271999678,-1.3695070129098943,1.3695070129098943
